Loading combined dataset (1.72B train tokens)...
Combined: 3,363,193 train seqs, 16,900 val seqs, vocab=32000
Resuming from weights.pkl
d=1024 h=16 kv_h=4 l=16 ctx=512 bs=16
combined_epoch2 trained_bpe vocab=32000
242,288,640 params, 210199 steps/epoch, 210199 total
/home/johann/Dropbox/ML/experiments/transformer/.venv/lib/python3.14/site-packages/jax/_src/compiler.py:834: UserWarning: Error writing persistent compilation cache entry for 'jit_train_step': FileNotFoundError: [Errno 2] No such file or directory: '/home/johann/Dropbox/ML/experiments/transformer/.jax_cache/jit_step_bf16_fwd-d220050f0a73f05857a0f29d66052c5b1bb6a6fbf370b712eb55b09b524da218-atime'
  warnings.warn(
    step 130000/210199  loss=2.7674  4.4 steps/s  eta=306min
    step 131000/210199  loss=2.7665  4.4 steps/s  eta=302min
    step 132000/210199  loss=2.7657  4.4 steps/s  eta=298min
    step 133000/210199  loss=2.7649  4.4 steps/s  eta=294min
    step 134000/210199  loss=2.7640  4.4 steps/s  eta=290min
    step 135000/210199  loss=2.7632  4.4 steps/s  eta=287min
    step 136000/210199  loss=2.7624  4.4 steps/s  eta=283min
    step 137000/210199  loss=2.7615  4.4 steps/s  eta=279min
    step 138000/210199  loss=2.7607  4.4 steps/s  eta=275min
    step 139000/210199  loss=2.7599  4.4 steps/s  eta=271min
    step 140000/210199  loss=2.7589  4.4 steps/s  eta=267min
    step 141000/210199  loss=2.7581  4.4 steps/s  eta=264min
    step 142000/210199  loss=2.7574  4.4 steps/s  eta=260min
    step 143000/210199  loss=2.7565  4.4 steps/s  eta=256min
    step 144000/210199  loss=2.7556  4.4 steps/s  eta=252min
    step 145000/210199  loss=2.7547  4.4 steps/s  eta=248min
    step 146000/210199  loss=2.7540  4.4 steps/s  eta=245min
    step 147000/210199  loss=2.7531  4.4 steps/s  eta=241min
    step 148000/210199  loss=2.7524  4.4 steps/s  eta=237min
    step 149000/210199  loss=2.7515  4.4 steps/s  eta=233min
    step 150000/210199  loss=2.7506  4.4 steps/s  eta=229min
    step 151000/210199  loss=2.7498  4.4 steps/s  eta=226min
    step 152000/210199  loss=2.7489  4.4 steps/s  eta=222min
    step 153000/210199  loss=2.7481  4.4 steps/s  eta=218min
    step 154000/210199  loss=2.7473  4.4 steps/s  eta=214min
    step 155000/210199  loss=2.7466  4.4 steps/s  eta=210min
